"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 12:36:24 UTC 2026","Thu Jul 16 12:36:25 UTC 2026","258","","Project Management","","Authenticated user creates a project","","Authenticated user creates a project","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","199","","Tenant Management","","Duplicate tenant name returns 409","","Duplicate tenant name returns 409","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Thu Jul 16 12:36:24 UTC 2026","Thu Jul 16 12:36:24 UTC 2026","148","","Tenant Invites and Membership","","Admin cannot revoke the only admin","","Admin cannot revoke the only admin","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:19 UTC 2026","466","","Work Item Management","","Create TASK returns 201 with status NEW","","Create TASK returns 201 with status NEW","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:24 UTC 2026","Thu Jul 16 12:36:24 UTC 2026","305","","Tenant Invites and Membership","","Admin revokes USER member","","Admin revokes USER member","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:19 UTC 2026","Thu Jul 16 12:36:20 UTC 2026","352","","Work Item Management","","Create FEATURE returns 201 with status BACKLOG","","Create FEATURE returns 201 with status BACKLOG","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:20 UTC 2026","Thu Jul 16 12:36:21 UTC 2026","477","","Work Item Management","","Update work item status via PATCH","","Update work item status via PATCH","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:17 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","179","","User Login and Tenant Selection","","Invalid credentials return 401","","Invalid credentials return 401","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Thu Jul 16 12:36:20 UTC 2026","Thu Jul 16 12:36:20 UTC 2026","365","","Work Item Management","","List work items returns 200","","List work items returns 200","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","21","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","146","","User Registration","","Valid registration returns token, ADMIN role and tenantId","","Valid registration returns token, ADMIN role and tenantId","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","235","","Tenant Management","","Creating a second tenant returns ADMIN role","","Creating a second tenant returns ADMIN role","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","181","","User Registration","","Duplicate email registration returns 409","","Duplicate email registration returns 409","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 12:36:18 UTC 2026","Thu Jul 16 12:36:18 UTC 2026","35","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 12:36:25 UTC 2026","Thu Jul 16 12:36:25 UTC 2026","13","","Project Management","","Unauthenticated access returns 403","","Unauthenticated access returns 403","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 12:36:25 UTC 2026","Thu Jul 16 12:36:25 UTC 2026","287","","Project Management","","List projects returns array for tenant","","List projects returns array for tenant","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 12:36:23 UTC 2026","Thu Jul 16 12:36:23 UTC 2026","182","","Tenant Invites and Membership","","Admin cancels pending invite","","Admin cancels pending invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 12:36:21 UTC 2026","Thu Jul 16 12:36:21 UTC 2026","429","","Work Item Management","","Create TASK with USER_STORY parent","","Create TASK with USER_STORY parent","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 12:36:23 UTC 2026","Thu Jul 16 12:36:24 UTC 2026","273","","Tenant Invites and Membership","","New user accepts invite and becomes USER","","New user accepts invite and becomes USER","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
