"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 16 13:21:57 UTC 2026","Thu Jul 16 13:21:58 UTC 2026","381","","Work Item Management","","Create USER_STORY returns 201 with status READY","","Create USER_STORY returns 201 with status READY","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Thu Jul 16 13:21:56 UTC 2026","Thu Jul 16 13:21:56 UTC 2026","147","","User Registration","","Valid registration returns token, ADMIN role and tenantId","","Valid registration returns token, ADMIN role and tenantId","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","323","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:01 UTC 2026","263","","Tenant Invites and Membership","","New user accepts invite and becomes USER","","New user accepts invite and becomes USER","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","276","","Project Management","","Authenticated user creates a project","","Authenticated user creates a project","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:22:01 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","352","","Tenant Invites and Membership","","Existing user accepts invite without new tenant","","Existing user accepts invite without new tenant","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:03 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","11","","Project Management","","Unauthenticated access returns 403","","Unauthenticated access returns 403","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:22:02 UTC 2026","Thu Jul 16 13:22:02 UTC 2026","146","","Tenant Invites and Membership","","Admin cannot revoke the only admin","","Admin cannot revoke the only admin","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Thu Jul 16 13:22:03 UTC 2026","Thu Jul 16 13:22:03 UTC 2026","534","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Thu Jul 16 13:21:55 UTC 2026","Thu Jul 16 13:21:55 UTC 2026","528","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
