"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Mon Jul 20 17:58:32 UTC 2026","Mon Jul 20 17:58:32 UTC 2026","493","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Mon Jul 20 17:58:40 UTC 2026","Mon Jul 20 17:58:40 UTC 2026","283","","Project Management","","Authenticated user creates a project","","Authenticated user creates a project","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","29","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Mon Jul 20 17:58:38 UTC 2026","Mon Jul 20 17:58:38 UTC 2026","181","","Tenant Invites and Membership","","Admin cancels pending invite","","Admin cancels pending invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:32 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","362","","User Login and Tenant Selection","","Select-tenant returns token for chosen tenant","","Select-tenant returns token for chosen tenant","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Mon Jul 20 17:58:37 UTC 2026","Mon Jul 20 17:58:38 UTC 2026","1066","","Work Item Management","","Cross-tenant work item access returns 404","","Cross-tenant work item access returns 404","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:34 UTC 2026","Mon Jul 20 17:58:35 UTC 2026","417","","Work Item Management","","Create USER_STORY returns 201 with status READY","","Create USER_STORY returns 201 with status READY","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:38 UTC 2026","Mon Jul 20 17:58:38 UTC 2026","325","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:38 UTC 2026","Mon Jul 20 17:58:39 UTC 2026","294","","Tenant Invites and Membership","","New user accepts invite and becomes USER","","New user accepts invite and becomes USER","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:40 UTC 2026","Mon Jul 20 17:58:41 UTC 2026","526","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Mon Jul 20 17:58:40 UTC 2026","Mon Jul 20 17:58:40 UTC 2026","276","","Project Management","","List projects returns array for tenant","","List projects returns array for tenant","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Mon Jul 20 17:58:39 UTC 2026","Mon Jul 20 17:58:39 UTC 2026","310","","Tenant Invites and Membership","","Admin revokes USER member","","Admin revokes USER member","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:34 UTC 2026","186","","Tenant Management","","Duplicate tenant name returns 409","","Duplicate tenant name returns 409","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Mon Jul 20 17:58:39 UTC 2026","Mon Jul 20 17:58:39 UTC 2026","14","","Tenant Invites and Membership","","Invalid invite token returns 410","","Invalid invite token returns 410","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Mon Jul 20 17:58:40 UTC 2026","Mon Jul 20 17:58:40 UTC 2026","10","","Project Management","","Unauthenticated access returns 403","","Unauthenticated access returns 403","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Mon Jul 20 17:58:36 UTC 2026","Mon Jul 20 17:58:36 UTC 2026","413","","Work Item Management","","Create TASK with USER_STORY parent","","Create TASK with USER_STORY parent","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","190","","Tenant Management","","Creating a second tenant returns ADMIN role","","Creating a second tenant returns ADMIN role","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Mon Jul 20 17:58:33 UTC 2026","Mon Jul 20 17:58:33 UTC 2026","181","","User Login and Tenant Selection","","Invalid credentials return 401","","Invalid credentials return 401","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Mon Jul 20 17:58:36 UTC 2026","Mon Jul 20 17:58:37 UTC 2026","416","","Work Item Management","","Invalid hierarchy TASK parent of TASK returns 400","","Invalid hierarchy TASK parent of TASK returns 400","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
