"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 15 13:42:49 UTC 2026","Wed Jul 15 13:42:50 UTC 2026","682","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","clicking a card opens CardModal with correct title, type and status",""
"passed","Wed Jul 15 13:43:08 UTC 2026","Wed Jul 15 13:43:10 UTC 2026","1214","chromium","projects/projects.spec.ts","Projects > local mutations","","","navigating to project detail updates URL to /projetos/:id",""
"failed","Wed Jul 15 13:42:45 UTC 2026","Wed Jul 15 13:42:45 UTC 2026","656","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","""view child board"" on Feature navigates to USER_STORY board with parent pre-selected",""
"failed","Wed Jul 15 13:40:55 UTC 2026","Wed Jul 15 13:40:55 UTC 2026","736","chromium","auth/session.spec.ts","Authentication — Session Management","","","logout clears session and subsequent access to protected page redirects to /login",""
"failed","Wed Jul 15 13:44:05 UTC 2026","Wed Jul 15 13:44:11 UTC 2026","5765","chromium","users/users.spec.ts","Users & Invites Management","","","admin cancels invite and it is removed from pending list",""
"failed","Wed Jul 15 13:40:43 UTC 2026","Wed Jul 15 13:40:49 UTC 2026","6354","chromium","auth/register.spec.ts","Authentication — Register","","","full registration creates user and workspace then redirects to /inicio with active workspace in sidebar",""
"failed","Wed Jul 15 13:42:37 UTC 2026","Wed Jul 15 13:42:37 UTC 2026","635","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","parent filter shows only tasks of selected user story; clearing shows all",""
"broken","Wed Jul 15 13:42:22 UTC 2026","Wed Jul 15 13:42:55 UTC 2026","32731","chromium","invite/invite-flow.spec.ts","Invite Flow","","","invited user can accept invite and join tenant",""
"passed","Wed Jul 15 13:42:56 UTC 2026","Wed Jul 15 13:42:56 UTC 2026","529","chromium","invite/invite-flow.spec.ts","Invite Flow","","","invalid invite token shows error",""
"failed","Wed Jul 15 13:41:10 UTC 2026","Wed Jul 15 13:41:16 UTC 2026","6049","chromium","auth/session.spec.ts","Authentication — Session Management","","","workspace switch via sidebar updates the active workspace",""
"failed","Wed Jul 15 13:42:53 UTC 2026","Wed Jul 15 13:42:54 UTC 2026","866","chromium","items/items.spec.ts","Items List View","","","type filter shows only items of selected type; clearing shows all",""
"failed","Wed Jul 15 13:42:59 UTC 2026","Wed Jul 15 13:43:00 UTC 2026","911","chromium","items/items.spec.ts","Items List View","","","clicking an item opens detail with same ID",""
"failed","Wed Jul 15 13:43:29 UTC 2026","Wed Jul 15 13:43:30 UTC 2026","767","chromium","users/users.spec.ts","Users & Invites Management","","","user with USER role is blocked from accessing /usuarios",""
"failed","Wed Jul 15 13:44:25 UTC 2026","Wed Jul 15 13:44:31 UTC 2026","5938","chromium","users/users.spec.ts","Users & Invites Management","","","new user accepts invite and is authenticated in inviting tenant",""
"passed","Wed Jul 15 13:40:50 UTC 2026","Wed Jul 15 13:40:52 UTC 2026","1308","chromium","auth/register.spec.ts","Authentication — Register","","","registration with existing email shows error message and stays on /register",""
"failed","Wed Jul 15 13:43:07 UTC 2026","Wed Jul 15 13:43:08 UTC 2026","910","chromium","projects/projects.spec.ts","Projects > local mutations","","","creating a project makes it appear in the project list",""
"passed","Wed Jul 15 13:42:57 UTC 2026","Wed Jul 15 13:42:57 UTC 2026","799","chromium","invite/invite-flow.spec.ts","Invite Flow","","","invited user can decline invite",""
"broken","Wed Jul 15 13:44:14 UTC 2026","Wed Jul 15 13:44:45 UTC 2026","31252","chromium","projects/projects.spec.ts","Projects > local mutations","","","selecting active project updates ProjectSelector and board shows project content",""
"passed","Wed Jul 15 13:40:52 UTC 2026","Wed Jul 15 13:40:53 UTC 2026","1203","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","switching board type changes visible columns",""
"failed","Wed Jul 15 13:43:19 UTC 2026","Wed Jul 15 13:43:25 UTC 2026","5706","chromium","users/users.spec.ts","Users & Invites Management","","","admin sees members list with role and date on /usuarios",""
"failed","Wed Jul 15 13:43:01 UTC 2026","Wed Jul 15 13:43:02 UTC 2026","675","chromium","navigation/sidebar.spec.ts","Sidebar Navigation","","","/inicio with active project shows SummaryCards with visible counters",""
"failed","Wed Jul 15 13:43:45 UTC 2026","Wed Jul 15 13:43:51 UTC 2026","6511","chromium","users/users.spec.ts","Users & Invites Management","","","admin creates invite and it appears in pending invites list",""
"failed","Wed Jul 15 13:42:41 UTC 2026","Wed Jul 15 13:42:41 UTC 2026","647","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","card displays display key, type badge and parent reference",""
"failed","Wed Jul 15 13:42:32 UTC 2026","Wed Jul 15 13:42:33 UTC 2026","629","chromium","board/kanban-flow.spec.ts","Kanban Board — Work Item Flow","","","drag-and-drop moves card to target column and persists after reload",""
"failed","Wed Jul 15 13:40:43 UTC 2026","Wed Jul 15 13:40:49 UTC 2026","6427","chromium","auth/login.spec.ts","Authentication — Login","","","multi-tenant login shows TenantPicker then redirects to /inicio after workspace selection",""
