"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Wed Jul 15 13:40:07 UTC 2026","Wed Jul 15 13:40:07 UTC 2026","21","","Project Management","","Unauthenticated access returns 401","","Unauthenticated access returns 401","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 13:40:00 UTC 2026","Wed Jul 15 13:40:00 UTC 2026","192","","Tenant Management","","Creating a second tenant returns ADMIN role","","Creating a second tenant returns ADMIN role","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Wed Jul 15 13:40:03 UTC 2026","Wed Jul 15 13:40:03 UTC 2026","441","","Work Item Management","","Create TASK with USER_STORY parent","","Create TASK with USER_STORY parent","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 13:40:04 UTC 2026","Wed Jul 15 13:40:04 UTC 2026","905","","Work Item Management","","Cross-tenant work item access returns 404","","Cross-tenant work item access returns 404","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 13:40:02 UTC 2026","Wed Jul 15 13:40:03 UTC 2026","446","","Work Item Management","","Update work item status via PATCH","","Update work item status via PATCH","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 13:40:04 UTC 2026","Wed Jul 15 13:40:05 UTC 2026","176","","Tenant Invites and Membership","","Admin creates invite with token","","Admin creates invite with token","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 13:40:05 UTC 2026","Wed Jul 15 13:40:05 UTC 2026","179","","Tenant Invites and Membership","","Admin cancels pending invite","","Admin cancels pending invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 13:40:05 UTC 2026","Wed Jul 15 13:40:05 UTC 2026","347","","Tenant Invites and Membership","","USER cannot create invite","","USER cannot create invite","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 13:40:07 UTC 2026","Wed Jul 15 13:40:08 UTC 2026","548","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 13:39:59 UTC 2026","Wed Jul 15 13:39:59 UTC 2026","474","","User Login and Tenant Selection","","Multi-tenant login returns tenant selection payload","","Multi-tenant login returns tenant selection payload","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
