"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","37","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Wed Jul 15 20:03:46 UTC 2026","Wed Jul 15 20:03:47 UTC 2026","371","","Work Item Management","","List work items returns 200","","List work items returns 200","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","49","","User Registration","","Registration fails with invalid data","","Registration fails with invalid data","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Wed Jul 15 20:03:44 UTC 2026","Wed Jul 15 20:03:44 UTC 2026","200","","User Login and Tenant Selection","","Invalid credentials return 401","","Invalid credentials return 401","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Wed Jul 15 20:03:45 UTC 2026","Wed Jul 15 20:03:45 UTC 2026","197","","Tenant Management","","Duplicate tenant name returns 409","","Duplicate tenant name returns 409","  As an authenticated user
  I want to create additional tenants
  So that I can manage multiple workspaces"
"passed","Wed Jul 15 20:03:50 UTC 2026","Wed Jul 15 20:03:50 UTC 2026","276","","Tenant Invites and Membership","","New user accepts invite and becomes USER","","New user accepts invite and becomes USER","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:51 UTC 2026","Wed Jul 15 20:03:51 UTC 2026","306","","Tenant Invites and Membership","","Admin revokes USER member","","Admin revokes USER member","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:46 UTC 2026","Wed Jul 15 20:03:46 UTC 2026","412","","Work Item Management","","Create USER_STORY returns 201 with status READY","","Create USER_STORY returns 201 with status READY","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:52 UTC 2026","Wed Jul 15 20:03:52 UTC 2026","565","","Project Management","","Cross-tenant project access returns 404","","Cross-tenant project access returns 404","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 20:03:51 UTC 2026","Wed Jul 15 20:03:51 UTC 2026","289","","Project Management","","Authenticated user creates a project","","Authenticated user creates a project","  As an authenticated tenant user
  I want to manage projects
  So that I can organize work items"
"passed","Wed Jul 15 20:03:44 UTC 2026","Wed Jul 15 20:03:44 UTC 2026","166","","User Registration","","Valid registration returns token, ADMIN role and tenantId","","Valid registration returns token, ADMIN role and tenantId","  As a new user
  I want to register an account
  So that I can access AgentBoard"
"passed","Wed Jul 15 20:03:48 UTC 2026","Wed Jul 15 20:03:48 UTC 2026","445","","Work Item Management","","Invalid hierarchy TASK parent of TASK returns 400","","Invalid hierarchy TASK parent of TASK returns 400","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:50 UTC 2026","Wed Jul 15 20:03:51 UTC 2026","408","","Tenant Invites and Membership","","Existing user accepts invite without new tenant","","Existing user accepts invite without new tenant","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
"passed","Wed Jul 15 20:03:46 UTC 2026","Wed Jul 15 20:03:46 UTC 2026","367","","Work Item Management","","Create FEATURE returns 201 with status BACKLOG","","Create FEATURE returns 201 with status BACKLOG","  As an authenticated board user
  I want to create and manage work items
  So that my team can track progress on the Kanban board"
"passed","Wed Jul 15 20:03:40 UTC 2026","Wed Jul 15 20:03:43 UTC 2026","3311","","User Login and Tenant Selection","","Single-tenant login returns token directly","","Single-tenant login returns token directly","  As a registered user
  I want to authenticate and select a tenant
  So that I can obtain a scoped JWT for AgentBoard"
"passed","Wed Jul 15 20:03:51 UTC 2026","Wed Jul 15 20:03:51 UTC 2026","177","","Tenant Invites and Membership","","Admin cannot revoke the only admin","","Admin cannot revoke the only admin","  As a tenant admin
  I want to invite and manage members
  So that my team can collaborate on AgentBoard"
